variable,label,scale_type,OldTheme,MainTheme,Subtheme
Q138.12,Formas de participación: Vigilar la correcta realización de alguna obra pública,Binaria,Participation,Community Participation,Community Involvement
Q138.13,Formas de participación: Bloquear calles avenidas carreteras,Binaria,Participation,Community Participation,Community Involvement
Q138.14,Formas de participación: Mitin político,Binaria,Participation,Community Participation,Community Involvement
Q139,Para usted votar es...,Categorica,Participation,Community Participation,Decision-Making Participation
Q140.1,Conoce: El referendum,Binaria,Participation,Community Participation,Decision-Making Participation
Q140.2,Conoce: El plebiscito,Binaria,Participation,Community Participation,Decision-Making Participation
Q140.3,Conoce: La iniciativa ciudadana,Binaria,Participation,Community Participation,Decision-Making Participation
Q140.4,Conoce: La revocación de mandato,Binaria,Participation,Community Participation,Decision-Making Participation
Q140.5,Conoce: Audiencias públicas,Binaria,Participation,Community Participation,Decision-Making Participation
Q140.6,Conoce: Consulta pública,Binaria,Participation,Community Participation,Decision-Making Participation
Q140.7,Conoce: Consejos consultivos,Binaria,Participation,Community Participation,Decision-Making Participation
