"","value","district","gender","age_group"
"199","Les alcanza justo, sin grandes dificultades","7","Mujer","3"
"200","Les alcanza justo, sin grandes dificultades","7","Mujer","4"
"201","Les alcanza bien y pueden ahorrar","7","Hombre","4"
"202","Les alcanza justo, sin grandes dificultades","7","Hombre","3"
"203","Les alcanza justo, sin grandes dificultades","7","Hombre","3"
"204","Les alcanza justo, sin grandes dificultades","7","Hombre","4"
"205","No les alcanza y tienen dificultades","7","Hombre","4"
"206","Les alcanza bien y pueden ahorrar","7","Mujer","4"
"207","Les alcanza bien y pueden ahorrar","7","Hombre","2"
"208","No les alcanza y tienen dificultades","7","Hombre","3"
"209","Les alcanza bien y pueden ahorrar","7","Hombre","4"
"210","Les alcanza justo, sin grandes dificultades","7","Mujer","4"
"211","No les alcanza y tienen grandes dificultades","7","Hombre","4"
"212","No les alcanza y tienen dificultades","8","Hombre","3"
"213","No les alcanza y tienen dificultades","8","Hombre","3"
"214","No les alcanza y tienen dificultades","8","Hombre","1"
"215","Les alcanza justo, sin grandes dificultades","8","Hombre","2"
"216","Les alcanza justo, sin grandes dificultades","8","Hombre","1"
"217","Les alcanza bien y pueden ahorrar","8","Hombre","2"
"218","No les alcanza y tienen dificultades","8","Mujer","4"
"219","No les alcanza y tienen dificultades","8","Mujer","2"
"220","Les alcanza bien y pueden ahorrar","8","Mujer","2"
"221","Les alcanza bien y pueden ahorrar","8","Mujer","2"
"222","Les alcanza justo, sin grandes dificultades","8","Mujer","4"
"223","Les alcanza bien y pueden ahorrar","8","Hombre","2"
"224","Les alcanza justo, sin grandes dificultades","8","Mujer","3"
"225","Les alcanza bien y pueden ahorrar","8","Mujer","1"
"226","Les alcanza justo, sin grandes dificultades","8","Mujer","2"
"227","No les alcanza y tienen dificultades","8","Mujer","3"
"228","No les alcanza y tienen dificultades","8","Mujer","3"
"229","Les alcanza justo, sin grandes dificultades","8","Hombre","2"
"230","No les alcanza y tienen dificultades","8","Hombre","1"
"231","Les alcanza justo, sin grandes dificultades","8","Mujer","2"
"232","Les alcanza justo, sin grandes dificultades","8","Hombre","3"
"233","Les alcanza bien y pueden ahorrar","8","Mujer","3"
"234","No les alcanza y tienen dificultades","8","Hombre","3"
"235","Les alcanza justo, sin grandes dificultades","8","Hombre","3"
"236","Les alcanza bien y pueden ahorrar","8","Hombre","3"
"237","Les alcanza justo, sin grandes dificultades","8","Mujer","3"
"238","Les alcanza bien y pueden ahorrar","8","Mujer","2"
"239","No les alcanza y tienen grandes dificultades","8","Hombre","2"
"240","Les alcanza justo, sin grandes dificultades","8","Mujer","1"
"241","Les alcanza justo, sin grandes dificultades","8","Hombre","2"
"242","Les alcanza justo, sin grandes dificultades","8","Hombre","1"
"243","No les alcanza y tienen dificultades","8","Hombre","3"
"244","Les alcanza justo, sin grandes dificultades","8","Hombre","1"
"245","Les alcanza bien y pueden ahorrar","8","Mujer","2"
"246","Les alcanza justo, sin grandes dificultades","8","Hombre","2"
"247","Les alcanza justo, sin grandes dificultades","8","Hombre","2"
"248","Les alcanza justo, sin grandes dificultades","8","Mujer","3"
"249","Les alcanza justo, sin grandes dificultades","8","Mujer","2"
"250","No les alcanza y tienen dificultades","8","Hombre","1"
"251","Les alcanza justo, sin grandes dificultades","8","Mujer","3"
"252","No les alcanza y tienen dificultades","8","Mujer","4"
"253","Les alcanza justo, sin grandes dificultades","8","Hombre","3"
"254","Les alcanza justo, sin grandes dificultades","8","Mujer","4"
"255","Les alcanza justo, sin grandes dificultades","8","Mujer","1"
"256","Les alcanza justo, sin grandes dificultades","8","Hombre","2"
"257","No les alcanza y tienen dificultades","8","Hombre","3"
"258","Les alcanza bien y pueden ahorrar","8","Mujer","2"
"259","Les alcanza justo, sin grandes dificultades","8","Mujer","2"
"260","No les alcanza y tienen dificultades","8","Hombre","1"
"261","Les alcanza justo, sin grandes dificultades","8","Mujer","2"
"262","No les alcanza y tienen dificultades","8","Hombre","2"
"263","No les alcanza y tienen dificultades","8","Hombre","2"
"264","Les alcanza justo, sin grandes dificultades","8","Hombre","2"
"265","Les alcanza justo, sin grandes dificultades","8","Hombre","2"
"266","Les alcanza justo, sin grandes dificultades","8","Mujer","2"
"267","Les alcanza justo, sin grandes dificultades","8","Mujer","4"
"268","No les alcanza y tienen dificultades","8","Hombre","3"
"269","Les alcanza justo, sin grandes dificultades","8","Mujer","2"
"270","No les alcanza y tienen dificultades","8","Mujer","2"
"271","Les alcanza justo, sin grandes dificultades","8","Hombre","3"
"272","No les alcanza y tienen dificultades","8","Mujer","2"
"273","Les alcanza justo, sin grandes dificultades","8","Hombre","1"
"274","No les alcanza y tienen dificultades","8","Mujer","3"
"275","No les alcanza y tienen dificultades","8","Hombre","1"
"276","No les alcanza y tienen dificultades","8","Mujer","3"
"277","Les alcanza bien y pueden ahorrar","9","Mujer","4"
"278","Les alcanza justo, sin grandes dificultades","9","Hombre","3"
"279","Les alcanza justo, sin grandes dificultades","9","Hombre","2"
"280","Les alcanza justo, sin grandes dificultades","9","Hombre","3"
"281","Les alcanza justo, sin grandes dificultades","9","Hombre","2"
"282","Les alcanza justo, sin grandes dificultades","9","Hombre","3"
"283","Les alcanza bien y pueden ahorrar","9","Hombre","1"
"284","Les alcanza justo, sin grandes dificultades","9","Hombre","3"
"285","Les alcanza justo, sin grandes dificultades","9","Hombre","1"
"286","Les alcanza bien y pueden ahorrar","9","Mujer","1"
"287","Les alcanza justo, sin grandes dificultades","9","Hombre","4"
"288","Les alcanza justo, sin grandes dificultades","9","Hombre","3"
"289","No les alcanza y tienen dificultades","9","Hombre","2"
"290","Les alcanza justo, sin grandes dificultades","9","Mujer","3"
"291","Les alcanza bien y pueden ahorrar","9","Mujer","1"
"292","Les alcanza justo, sin grandes dificultades","9","Hombre","3"
"293","Les alcanza justo, sin grandes dificultades","9","Hombre","1"
"294","Les alcanza justo, sin grandes dificultades","9","Hombre","1"
"295","Les alcanza justo, sin grandes dificultades","9","Hombre","1"
"296","No les alcanza y tienen dificultades","9","Hombre","2"
"297","No les alcanza y tienen dificultades","9","Hombre","3"
"298","No les alcanza y tienen dificultades","9","Mujer","4"
"299","No les alcanza y tienen grandes dificultades","9","Hombre","3"
"300","Les alcanza justo, sin grandes dificultades","9","Hombre","3"
"301","Les alcanza justo, sin grandes dificultades","6","Mujer","2"
"302","Les alcanza justo, sin grandes dificultades","6","Mujer","3"
"303","No les alcanza y tienen dificultades","6","Mujer","3"
"304","Les alcanza justo, sin grandes dificultades","6","Hombre","2"
"305","No les alcanza y tienen dificultades","6","Hombre","3"
"306","Les alcanza justo, sin grandes dificultades","6","Hombre","1"
"307","Les alcanza justo, sin grandes dificultades","6","Hombre","2"
"308","Les alcanza justo, sin grandes dificultades","6","Hombre","4"
"309","Les alcanza justo, sin grandes dificultades","6","Mujer","2"
"310","Les alcanza justo, sin grandes dificultades","6","Hombre","1"
"311","Les alcanza justo, sin grandes dificultades","6","Mujer","4"
"312","Les alcanza justo, sin grandes dificultades","6","Hombre","4"
"313","No les alcanza y tienen dificultades","6","Hombre","2"
"314","No les alcanza y tienen dificultades","6","Hombre","2"
"315","No les alcanza y tienen dificultades","6","Hombre","3"
"316","No les alcanza y tienen dificultades","6","Mujer","2"
"317","Les alcanza justo, sin grandes dificultades","6","Hombre","2"
"318","Les alcanza justo, sin grandes dificultades","6","Hombre","2"
"319","Les alcanza bien y pueden ahorrar","6","Hombre","3"
"320","Les alcanza bien y pueden ahorrar","6","Hombre","2"
"321","Les alcanza bien y pueden ahorrar","6","Mujer","2"
"322","Les alcanza justo, sin grandes dificultades","6","Mujer","2"
"323","Les alcanza justo, sin grandes dificultades","6","Hombre","1"
"324","No les alcanza y tienen dificultades","6","Mujer","3"
"325","Les alcanza bien y pueden ahorrar","6","Mujer","2"
"326","No les alcanza y tienen dificultades","6","Hombre","3"
"327","Les alcanza bien y pueden ahorrar","6","Mujer","2"
"328","No les alcanza y tienen dificultades","6","Hombre","4"
"329","No les alcanza y tienen dificultades","6","Mujer","3"
"330","Les alcanza justo, sin grandes dificultades","6","Hombre","3"
"331","No les alcanza y tienen dificultades","6","Hombre","3"
